sentence_id,sentence
1,Gusto kong intindihin pero hindi ko maintindihan hahaha paano ba itong mga draw na ganyan po ?
2,Kaya kayong mga babae wag kayong basta basta magtiwala na kahit kanino kasi .
3,"Kasalan naman nila bakit hindi nila sinabi agad ang totuo ,"
4,At sila-sila rin ang umuunlad ?
5,Nakakamiss ung mga gantong content ni kuya lloyd .
7,"Sa pamamagitan ng pagsunod sa daan na ginawa ng bundok , nagawa ng maliit na sapa na makabalik sa tahanan nito ; sumama ito sa ilog , at dumaloy sa dagat ."
8,Sana maging ihimplo ka nang mga Youtuber .
11,"Dahil dito , 48 , 530 na ang total recoveries sa hanay ng PNP sa naturang sakit ."
13,Busy sa pagpapadami ng votes dun sa picture ni Belinda whahaaahah
14,Kaya ito ngayon ang kinakatakutan ng mga tao sa amin .
15,Ikaw pa rin ang pipiliin ko
17,Alamin ang 4S LABAN SA DENGUE upang maiwasan ang sakit na ito sa ating komunidad .
18,yung may natutunan ka ng recipe tapos ang gwapo pa ng chef !
20,May mga bahagi din ito katulad ng mga talulot na napagkukunan ng .
21,Huwag mong hamakin palagi ang iyong sarili .
22,Wala nang ibang kayang gawin ?
23,Kulang pa yan kuya gawin mo anim ang puge mo naman
25,Natanggal na sama ng loob ko ng dahil sa basketball
26,mukhang sa literature pa ako babagsak ah
31,"lakas magbigay ng ano , di naman pala totoo"
34,na magtala ng pinakamataas na arawang pagtala ng mga kaso .
35,"Kung totoong may ibang tao na nagkanulo sa Diyos , tiyak na lubhang nasasaktan at nagdadalamhati ngayon ang Diyos , at dapat kong subukan ngayong aliwin ang puso ng Diyos sa pamamagitan ng aking sariling katapatan ."
38,Paano magiging kapareho ng Diyos ang Kanyang sangnilikha ?
39,Naghahanap po ako nang mas matanda sa akin .
41,"Kakahiya kayo GMA , hanap naman kayo ng sensitive na interviewee sa isyu ."
42,patapos na yung buwan ng oct
46,""" Ask ko lang sana if hindi ako nakakaistorbo sa pagbabasa mo "" "" Yes ok lang naman "" "" Bakit ba ang daming fangirls nila ?"
48,"Sa opisyal na pagkaluklok kay Velasco , ang bawat partido sa Kamara ay nagpahayag ng kanilang suportado sa liderato nito ."
54,Eh diba kayong mga bumoboto nakasalalay sa inyo kung sino ang ihahalal ?
55,Ang sarap nang feeling na may kaibigan ka na mahal .
57,Hahaha sa tagal ngayon nalang nagkaron ng mahabang title hahaha
59,Sinasabing pili ang mga pinagsasarang tindahan .
60,Please pasagot po ayoko na po kasi siyang maging prof ulit sa next sem
61,Bibigyan natin ng flexibility ang ating mga government chief executive para i-determine sino ang mga kasama sa A5 ( We will start with A4 vaccination in NCR Plus 8 .
63,Si Vanessa Valdez na isang housekeeper sa Texas ay nagtuturo kung paano linisin ang bawat sulok ng bahay .
66,Huwag kayong lalaban baka mabura kayo sa mapa
67,"Samantala , lumampas na sa 36 milyon ang dami ng mga taong nadapuan ng COVID-19 sa buong mundo ."
68,"Sa Budismo , ang pagtatamo ng kawalang-kamatayan ay nangangahulugang pagpasok sa Nirvana , ngunit ano ang tawag nila dito sa Kristiyanismo ?"
71,Baka matalo kayo ng jamill haha
74,MagpaGA na lang kaya ako ng bigas para sa birthday ni Woozi ?
77,kawawa ang mga kabataan dahil sa drugs na yan
79,"Sa buong buhay ko , wala akong laban na inaatrasan dahil sa ngalan ng prinsipyo , karangalan ng bayan ay tumayo ako , nanindigan at nakikipaglaban ."
80,Need tignan ng present school ang history ng student sa LIS .
82,"Naiyak ako doon sa sinabi ng tatay na "" Anak , "" nan at "" I love you . "" nan"
83,Sa sobrang pag titipid ng gobyerno ayan buhay ng mga sundalo natin ang naka taya .
85,"Isinailalim sa state of calamity ang Barangay Pasian sa bayan ng Monkayo , Davao de Oro ngayong Biyernes , dahil sa diarrhea outbreak na nagsimula noong Linggo ."
87,"Pero sa totoo lang , bagay sana na gumawa rin sila ng pelikula ni Julia , di ba ?"
